"","Category","Type","Organisation","Organisation_type","Country","City","Source"
"376","Divestment","Full","Phipps Conservatory and Botanical Gardens","Cultural Institution","USA","Pittsburgh","https://phipps.conservatory.org/green-innovation/"
"377","Divestment","Full","Pi Investments","For Profit Corporation","USA","Oakland","http://divestinvest.org/wp-content/uploads/2014/09/Pi-Investments-1-pager.pdf"
"378","Divestment","Full","Pig Shed Trust","Philanthropic Foundation","UK","--","http://divestinvest.org/philanthropy/signatories/#/signatories/ashden-trust"
"379","Divestment","Full","Pilgrim Lutheran Church, St. Paul","Faith-based Organization","USA","St.Paul","http://gofossilfree.org/commitments/"
"380","Divestment","Full","Pitzer College","Educational Institution","USA","Claremont","--"
"381","Divestment","Partial","PKA Pension","Pension Fund","Denmark","Hellerup","http://www.bloomberg.com/news/articles/2015-05-05/nordic-funds-cut-u-s-oil-coal-investments-on-climate-concern"
"382","Divestment","Full","Polden Puckham Charitable Foundation","Philanthropic Foundation","UK","London","http://divestinvest.org/philanthropy/#/signatories/polden-puckham-charitable-foundation"
"383","Divestment","Full","Portsmouth South Church Unitarian Universalist, NH","Faith-based Organization","USA","Portsmouth","http://www.seacoastonline.com/article/20130527/NEWS/305270315"
"384","Divestment","Full","Practice Greenhealth","Healthcare Institution","USA","Reston","http://www.digitaljournal.com/pr/2551582"
"385","Divestment","Full","Prentice Foundation","Philanthropic Foundation","USA","New York","http://www.digitaljournal.com/pr/2551582"
"386","Divestment","Full","Presbyterian Church of New Zealand","Faith-based Organization","New Zealand","Te Aro","http://gofossilfree.org/the-presbyterian-church-of-new-zealand-joins-a-chorus-of-faith-based-action-down-under/"
"387","Divestment","Full","Presbyterian Peace Fellowship, NY","Faith-based Organization","USA","Stony Point","http://presbypeacefellowship.org/content/press-release-presbyterian-peace-fellowship-divests-fossil-fuel-corporations#.VgsWWPlVikq"
"388","Divestment","Partial","Prescott College","Educational Institution","USA","Prescott","--"
"389","Divestment","Full","Presentation Sisters, Queensland","Faith-based Organization","Australia","Clayfield","--"
"390","Divestment","Full","Presentation Sisters, Wagga Wagga","Faith-based Organization","Australia","Berala","http://www.arrcc.org.au/divestment_announcement_gccm"
"391","Divestment","Full","Protestant Church Hessen-Nassau","Faith-based Organization","Germany","Darmstadt","http://www.ekhn.de/aktuell/detailmagazin/news/klima-im-blick-kein-geld-in-kohle-investieren.html"
"392","Divestment","Full","Provincial of The Passionists – Holy Spirit Province Australia, NZ, PNG","Faith-based Organization","Australia","Fullarton","http://www.arrcc.org.au/divestment_announcement_gccm"
"393","Divestment","Full","Put Your Money Where Your Meaning Is Community (Pymwymic)","Philanthropic Foundation","Netherlands","Amsterdam","http://divestinvest.org/wp-content/uploads/2015/06/PRESS-RELEASE-Divest-Invest-June-Announcement.pdf"
"394","Divestment","Full","Quakers in Britain","Faith-based Organization","UK","London","http://gofossilfree.org/uk/huddersfield-quakers-divest/"
"395","Divestment","Full","Quakers Religious Society of Friends","Faith-based Organization","Australia","Kenmore","http://c.ymcdn.com/sites/www.quakers.org.au/resource/resmgr/AYM_files/md_divestment.pdf"
"396","Divestment","Full","Queen Margaret University","Educational Institution","UK","Edinburgh","https://drive.google.com/file/d/0B-va3no-oMaBWFlFMEVrQ2lrbkE/view?usp=sharing"
"397","Divestment","Full","Queen Mary University London","Educational Institution","UK","London","--"
