"","Name_of_Organisation","Type","Country","Divestment_Type","More_Info","Policy"
"176","Caroline Lurie Super Fund","Pension Fund","Australia","Full","'https://www.divestinvestaustralia.org.au/commitments'",1
"177"," 'http://www.catherinedonnellyfoundation.org/' Catherine Donnelly Foundation","Philanthropic Foundation","Canada","Full","'http://catherinedonnellyfoundation.org/wp/cdf-press-releases/'",1
"178"," 'https://catholicactionforanimals.wordpress.com/' Catholic Action for Animals","Faith-based Organization","UK","Full","'https://catholicclimatemovement.global/divest-and-reinvest/'",1
"179"," 'https://cbcpwebsite.com/' Catholic Bishops’ Conference of the Philippines","Faith-based Organization","Philippines","Full","'https://www.ncronline.org/news/environment/faith-pledges-push-global-fossil-fuel-divestments-over-11-trillion'",1
"180"," 'http://www.ccstockton.org' Catholic Charities Diocese of Stockton","Faith-based Organization","USA","Fossil Free","",1
"181"," 'https://www.cadjos.org/' Catholic Laity Council of the Archdiocese of Jos","Faith-based Organization","Nigeria","Full","'https://www.ncronline.org/news/environment/faith-pledges-push-global-fossil-fuel-divestments-over-11-trillion'",1
"182"," 'https://catholicnetwork.us/' Catholic Network","Faith-based Organization","USA","Full","",1
"183"," 'https://www.stspiusmaryanthony.com/' Catholic Parish cluster St Pius, St. Mary, St. Anthony","Faith-based Organization","USA","Full","",1
"184","Catholic University of Eastern Africa","Faith-based Organization","Kenya","Full","'https://docs.google.com/spreadsheets/d/17bL4y1ufCrawR1HMc25OsyPL55F8xSgmu5KIpHofaRM/edit#gid=0'",1
"185"," 'http://www.cwd.org.za/' Catholic Welfare and Development","Faith-based Organization","South Africa","Full","'https://catholicclimatemovement.global/divest-and-reinvest/'",1
"186","Cecily Dignan Superannuation Fund","Pension Fund","Australia","Full","'http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987'",1
"187"," 'https://cac.org/' Center for Action and Contemplation","Faith-based Organization","USA","Full","'https://catholicclimatemovement.global/divest-and-reinvest/'",1
"188"," 'http://www.humansandnature.org/' Center for Humans and Nature","NGO","USA","Full","'http://divestinvest.org/philanthropy/signatories/#/signatories/ashden-trust'",1
"189"," 'http://www.ciel.org/' Center for International Environmental Law","NGO","USA","Full","'http://www.guidestar.org/FinDocuments/2013/521/633/2013-521633220-09e1cd94-9.pdf'",1
"190"," 'https://www.quakercloud.org/cloud/central-philadelphia-monthly-meeting' Central Philadelphia Monthly Meeting of the Religious Society of Friends","Faith-based Organization","USA","Full","",1
"191"," 'https://www.chalmers.se' Chalmers University of Technology","Educational Institution","Sweden","Full","'http://gofossilfree.org/press-release/first-swedish-university-divests-from-fossil-fuels/'",1
"192"," 'http://www.change-finance.com/' Change Finance","For Profit Corporation","USA","Full","'http://www.change-finance.com/#what-we-do'",1
"193","Chester Quarterly Meeting of the Religious Society of Friends","Faith-based Organization","USA","Partial","'http://www.greenfaith.org/programs/divest-and-reinvest/listing-of-known-religious-divestment-efforts'",1
"194"," 'http://www.cmsdocs.org/' Chicago Medical Society","Healthcare Institution","USA","Full","'http://www.cmsdocs.org/news/message-from-the-president-37'",1
"195"," 'http://www.csuchico.edu/' Chico State University","Educational Institution","USA","Full","'http://gofossilfree.org/wp-content/uploads/2014/12/Chico-State-300x225.jpg'",1
"196"," 'https://ciff.org/' Children's Investment Fund Foundation","Philanthropic Foundation","UK","Full","'https://ciff.org/news/ciff-signs-divest-invest-pledge/'",1
"197"," 'http://www.quakers-chilterns-area.org.uk/' Chilterns Quaker Area Meeting","Faith-based Organization","UK","Full","",1
"198"," 'http://www.cbcgdf.org/English/index.html' China Biodiversity Conservation and Green Development Foundation","NGO","China","Full","'https://docs.google.com/document/d/1Q7IfT5a-ouqXEz0ozdJMI6JfUcUoibepfgp71cH3UD4/edit'",1
"199"," 'http://www.chinofound.org/' Chino Cienga Foundation","Philanthropic Foundation","USA","Full","",1
"200"," 'http://chorusfoundation.org/' Chorus Foundation","Philanthropic Foundation","USA","Full","",1
"201"," 'https://www.christensenfund.org/' Christensen Family Foundation","Philanthropic Foundation","USA","Full","'http://divestinvest.org/philanthropy/signatories/#/signatories/ashden-trust'",1
"202","Christian Brothers European Province","Faith-based Organization","Ireland","Full","'https://docs.google.com/spreadsheets/d/17bL4y1ufCrawR1HMc25OsyPL55F8xSgmu5KIpHofaRM/edit#gid=0'",1
"203","Christian Life Community","Faith-based Organization","Australia","Full","'https://docs.google.com/spreadsheets/d/17bL4y1ufCrawR1HMc25OsyPL55F8xSgmu5KIpHofaRM/edit#gid=0'",1
"204","Christine Guinand Super Fund","Pension Fund","Australia","Full","'https://www.divestinvestaustralia.org.au/commitments'",1
"205"," 'https://www.chubb.com/' Chubb Insurance LTD","For Profit Corporation","USA","Coal Only","'https://www.reuters.com/article/us-chubb-ltd-ch-coal-policy/u-s-insurer-chubb-pulls-back-from-coal-idUSKCN1TW3I2'",1
"206"," 'http://www.cwu-in-nys.org/' Church Women United in New York State","Faith-based Organization","USA","Fossil Free","'https://docs.google.com/spreadsheets/d/1ftIRg5MMZGCXJyOQd9pYJXJw80IZkutjDFCwaIXP_lo/edit#gid=0'",1
"207"," 'http://www.churchinwales.org.uk/' Church in Wales","Faith-based Organization","UK","Coal and Tar Sands Only","'http://cinw.s3.amazonaws.com/wp-content/uploads/2013/08/CIF-2015-LED-English-Final-online.pdf'",1
"208"," 'https://www.churchofengland.org/' Church of England","Faith-based Organization","UK","Coal and Tar Sands Only","'https://www.churchofengland.org/more/media-centre/news/church-england-pensions-board-publishes-2015-annual-report-and-accounts'",1
"209"," 'https://www.ireland.anglican.org/' Church of Ireland","Faith-based Organization","Ireland","Full","'https://www.irishtimes.com/news/social-affairs/religion-and-beliefs/church-of-ireland-to-end-investments-in-fossil-fuel-companies-1.3492315'",1
"210"," 'http://www.churchofscotland.org.uk/' Church of Scotland","Faith-based Organization","UK","Coal and Tar Sands Only","'http://www.foe-scotland.org.uk/node/2159'",1
"211"," 'http://stpaulandstandrew.org/' Church of St. Paul and St. Andrew","Faith-based Organization","USA","","'http://stpaulandstandrew.org/in-the-news/'",1
"212"," 'https://www.svenskakyrkan.se/' Church of Sweden","Faith-based Organization","Sweden","Full","'http://gofossilfree.org/se/divestment-accomplished-cos/'",1
"213"," 'http://www.cotcbos.org/' Church of the Covenant, Presbytery of Boston, MA","Faith-based Organization","USA","Full","'http://www.greenfaith.org/programs/divest-and-reinvest/listing-of-known-religious-divestment-efforts'",1
"214"," 'http://www.redeemermorristown.org/' Church of the Redeemer, Diocese of Newark, NJ","Faith-based Organization","USA","Full","'http://www.greenfaith.org/programs/divest-and-reinvest/listing-of-known-religious-divestment-efforts'",1
"215"," 'http://www.cpj.ca/' Citizens for Public Justice","NGO","Canada","Full","'http://www.cpj.ca/vision-and-mission'",1
"216"," 'https://www.eindhoven.nl/' City Council of Eindhoven","Government","Netherlands","Full","'https://www.eindhoven.nl/'",1
"217"," 'http://www.alburycity.nsw.gov.au/' City of Albury","Government","Australia","Full","'http://350.org.au/news/albury-and-armadale-city-councils-divests-from-fossil-fuels/'",1
"218"," 'https://www.amherstma.gov/' City of Amherst, MA","Government","USA","Full","'http://divestcu.com/commitments.html'",1
"219"," 'http://www.a2gov.org/' City of Ann Arbor, MI","Government","USA","Full","'http://divestcu.com/commitments.html'",1
"220"," 'http://www.armadale.wa.gov.au/' City of Armadale","Government","Australia","Full","'http://350.org.au/news/albury-and-armadale-city-councils-divests-from-fossil-fuels/'",1
"221"," 'http://www.ashland.or.us/' City of Ashland, OR","Government","USA","Full","'http://www.opb.org/news/article/ashland-city-council-pass-fossil-fuel-divestment-r/'",1
"222"," 'http://www.ballarat.vic.gov.au/' City of Ballarat","Government","Australia","Full","",1
"223"," 'http://www.cityofbayfield.com/' City of Bayfield, WI","Government","USA","Full","'http://divestcu.com/commitments.html'",1
"224"," 'http://www.cityofbelfast.org/' City of Belfast, ME","Government","USA","Full","",1
"225"," 'http://www.ci.berkeley.ca.us/' City of Berkeley, CA","Government","USA","Full","'http://divestcu.com/commitments.html'",1
"226"," 'https://www.bochum.de/' City of Bochum","Government","Germany","Partial","'https://www.waz.de/staedte/bochum/bochum-verkauft-weitere-2-2-millionen-rwe-aktien-id210901851.html'",1
"227"," 'http://www.boras.se/' City of Borås","Government","Sweden","Full","'https://www.facebook.com/fossilfreeswe/photos/a.288664237939043.1073741828.276384475833686/672508309554632/?type=3&amp;theater'",1
"228"," 'https://bouldercolorado.gov/' City of Boulder, CO","Government","USA","Full","'http://divestcu.com/commitments.html'",1
"229"," 'https://www.boxtel.nl/' City of Boxtel","Government","Netherlands","Full","'https://www.boxtel.nl/actueel/nieuws/nieuwsbericht/archive/2013/oktober/article/boxtel-eerste-fossielvrije-gemeente-van-nederland-en-europa-2506.html'",1
"230"," 'http://www.brisbaneca.org/' City of Brisbane, CA","Government","USA","Full","'http://www.ci.brisbane.ca.us/sites/default/files/VIIF_Reso%202014-19.pdf'",1
"231"," 'https://www.bristol.gov.uk/' City of Bristol","Government","UK","Partial","'http://gofossilfree.org/uk/bristol-city-council-goes-fossil-free/'",1
"232"," 'https://www.cambridgema.gov/' City of Cambridge, MA","Government","USA","Full","'http://divestcu.com/commitments.html'",1
"233"," 'https://www.ccc.govt.nz/' City of Christchurch","Government","New Zealand","Partial","'http://fsrn.org/2015/05/new-zealand-city-to-divest-from-fossil-fuels/'",1
"234"," 'http://www.concordma.gov/' City of Concord, MA","Government","USA","Full","'http://www.treehugger.com/corporate-responsibility/fossil-fuel-divestment-spreads-massachusetts-3-towns-ten-days.html'",1
"235"," 'http://international.kk.dk/' City of Copenhagen","Government","Denmark","Full","'http://gofossilfree.org/europe/press-release/copenhagen-bans-investments-in-coal-oil-and-gas/'",1
"236"," 'https://www.corvallisoregon.gov/' City of Corvallis, OR","Government","USA","Full","'http://350corvallis.org/corvallis-divests/'",1
"237"," 'http://www.dunedin.govt.nz/' City of Dunedin","Government","New Zealand","Full","'http://www.theguardian.com/sustainable-business/dunedin-council-fossil-fuel-divestment-new-zealand'",1
"238"," 'https://www.eugene-or.gov/' City of Eugene, OR","Government","USA","Full","'http://divestcu.com/commitments.html'",1
"239"," 'http://www.framinghamma.gov/' City of Framingham, MA","Government","USA","Full","'http://www.metrowestdailynews.com/article/20140516/News/140517223'",1
"240"," 'https://www.freiburg.de/' City of Freiburg","Government","Germany","Full","'http://www.badische-zeitung.de/freiburg/freiburg-tritt-fossil-free-bewegung-bei-doch-badenova-darf-weiter-mit-erdgas-handeln--150084318.html'",1
"241"," 'http://www.fremantle.wa.gov.au/' City of Fremantle","Government","Australia","Full","'http://www.fremantle.wa.gov.au/news-and-media/131114-city-fremantle-divest-carbon-intensive-investments'",1
"242","City of Frouzins","Government","France","Full","'http://www.mairie-frouzins.fr/_resources/Votre%2520Mairie/Compte-rendu%2520du%252010%2520d%25C3%25A9cembre%25202015.pdf?download=true'",1
"243"," 'https://stad.gent/en' City of Ghent","Pension Fund","Belgium","Partial","'https://www.dewereldmorgen.be/artikel/2018/12/05/%C2%93stad-gent-desinvesteert-als-eerste-belgische-stad-uit-fossiele-brandstoffen/'",1
"244"," 'http://www.townofgb.org/' City of Great Barrington, MA","Government","USA","Full","'http://gofossilfree.org/commitments/'",1
"245"," 'https://www.goettingen.de/' City of Göttingen","Government","Germany","Full","'https://gofossilfree.org/de/press-release/goettingen-zieht-gelder-aus-klimaschaedlichen-kohle-oel-und-gasunternehmen-ab/'",1
"246"," 'https://www.heidelberg.de/' City of Heidelberg","Government","Germany","Full","'https://www.heidelberg.de/7071_34581_34869_284696_1219308_1246207_1275705_1277498_1276594.html'",1
"247","City of Hellemes","Government","France","Full","",1
"248"," 'http://www.cityofithaca.org/' City of Ithaca, NY","Government","USA","Full","'http://divestcu.com/commitments.html'",1
"249"," 'http://www.leichhardt.nsw.gov.au/' City of Leichhardt","Government","Australia","Full","'http://350.org.au/blog/two-nsw-councils-divest-from-fossil-fuels-showing-growing-csg-opposition/'",1
"250"," 'https://www.leipzig.de/' City of Leipzig","Government","Germany","Partial","'https://ratsinfo.leipzig.de/bi/vo020.asp?VOLFDNR=1008462'",1
"251","City of Lille","Government","France","Full","'http://www.lille.fr/content/download/11947/178119/file/compte_rendu_succinct_cm_27_novembre_2015.pdf'",1
"252"," 'http://www.lismore.nsw.gov.au/' City of Lismore","Government","Australia","Full","'http://350.org.au/blog/marrickville-council-to-offload-fossil-fuel-investments/'",1
